1555.88,952.09,228.49,1416.6,139.25,352.95,203.35,399.25,1003.18,575.33
1519.13,943.47,219.6,1319.1,126.42,313.5,188.5,370.2,941.9,587.13
1424.65,874.48,211.09,1311.9,117.53,278.4,177.8,327.45,945.73,567.2
1765.7,954.02,209.06,1400.6,108.2,284.45,180.5,340.2,972.3,599.7
1744.8,912.62,196.43,1367.6,116.03,285.6,177.35,282.9,1068.08,615.95
1847.2,963.78,196.05,1271.3,103.97,275.5,158.2,269.3,1054.03,653.38
1941.25,1174.67,207.6,1302.6,109.63,303.95,165.5,264.15,1090.53,682.5
2078.2,1229.25,226.24,1369.1,103.77,342.65,179.95,267.1,1031.13,720
2184.5,1246.34,243.15,1266.65,102.13,305,177.25,223.45,1002.83,727.85
1937.6,1051.4,248.63,1298.35,92.03,355.1,153.15,178.65,955.93,686.25
1970.6,1157.19,243.64,1429.65,89.07,355,140.2,171.95,1058.58,666.5
1893.55,1110.48,247.69,1438.5,91.4,360,150.2,172.6,1061.23,659.85
2014.6,1215.53,276.98,1313.4,91.43,364.25,141.7,181.25,1040.58,749.6
1984.25,1219.94,277.5,1294.5,96.53,348.8,148.8,177.85,1041.08,733.95
2000.4,1350.2,254.75,1384.05,108.47,398.85,159.55,174.3,1158.25,742.3
2254.95,1378.68,298.4,1347.75,105.2,407.75,169.3,214.2,1157.75,749.95
2196.85,1317.22,286.55,1557.95,110.37,423.4,171.85,172.5,1212.45,736.85
2227.25,1240.2,280.4,1553.05,103.9,437.25,167.75,162.6,1223.2,731.95
2205.4,1155.01,265.35,1387.15,92.87,424.5,138.9,135.6,1125.9,794
2258.05,1236.58,254.35,1328.1,81.63,410.4,121.2,116.75,1114.45,814.6
2099.2,1320.04,239.8,1476.6,98.27,433.4,131.9,117.45,1227.35,805.3
2270.2,1450.4,259.2,1473.4,97.87,462.85,141.55,177.7,1229.95,685.5
2052.7,1536.28,237.7,1330.6,87.5,511.95,131.75,161.45,1274.25,695.95
2161.3,1499.83,245.95,1298.95,83.77,538.75,128.75,185.1,1271.8,731.75
2079.3,1398.39,236.8,1369.1,75.63,525.55,108.9,176.6,1225.7,776.35
2000.95,1316.13,221.1,1183,70.43,496.05,91.95,129,1177.6,731.35
1823.05,1101.96,196.6,806.85,54.43,324.5,68.3,71.05,862,640.3
2014.85,1453.22,190.5,897.35,56.17,379.9,79.95,93.1,1001.75,716.2
1971.55,1465.2,212.55,932.3,55.53,332.1,83.2,86.9,951.25,691.35
2082.2,1703.35,219.7,944.05,56.9,351.45,81.4,98.25,1065.7,735.9
2282.45,2066.95,280.6,913.35,59.03,346.9,78.4,104.7,1032.65,966.25
2256.35,2078.55,271.4,945.3,57.2,395,82.05,143.2,1115.2,928.5
2491.5,2233.75,313.6,902.45,49.3,354.9,69.3,133.3,1079.2,1008
2664.85,2054.35,340.65,929.6,53.03,392.55,64.95,132.7,1183.45,1060.6
2679.15,1929.85,350.5,1115.8,56.37,472.8,78.5,180.25,1440.7,1100.55
2870.2,1984.65,386.25,1287.55,60.63,534.8,93.2,183.7,1436.75,1255.85
3112.9,1843.15,418.05,1334.6,62.2,537,88.4,262.6,1390.8,1239.65
2896.05,2083.85,410.2,1442.25,65.33,597.6,111.15,323,1534.35,1252.35
3177.6,2003.2,414.2,1418.35,61.2,581.25,102.15,301.85,1493.55,1367.75
3038.4,1994.45,492.4,1340.2,60.57,600.4,108.55,293.95,1412.2,1353.9
3158.95,2160.45,538.9,1465.55,72.83,662.2,113.65,318.7,1516.4,1393.65
3345.25,2110.9,545.65,1501.25,71.97,630.85,117.7,339.55,1498.05,1581.25
3167.5,2035.4,586.6,1601.4,68.8,682.7,115.25,293.95,1425.8,1610.25
3786.55,2259.3,641.25,1671.4,73.87,718.85,120.5,287.35,1581.5,1704.15
3774.5,2517,634.35,1703.15,83.6,700.8,144.5,333.2,1595.5,1675.4
3398.8,2537.6,646.45,1766.8,85.37,802.3,148.95,483.75,1582.35,1668.6
3532,2406.75,637,1763.9,79.37,714.3,142.15,458.8,1493.6,1714.45
3736.85,2368.15,715.2,1895,74.37,740.25,142.35,482.35,1479.8,1889.65
3737.9,2386.35,572.65,1908.85,83.47,789.25,172.55,517.5,1485.55,1736.7
3554.55,2359.1,555.85,1816.9,76.47,742.45,160.6,454.15,1426.7,1717.3
3738.8,2633.95,592,1767.45,79.3,730.25,163.9,433.5,1469.95,1907.2
3550.1,2790.8,509,1695.8,84,743.55,160.5,437.55,1384.75,1567.9
3364.8,2633.9,478.25,1653.55,77.37,751.5,151.4,443.85,1387.45,1503.95
3265.25,2594.05,416.05,1557.05,74.25,706.85,151.45,411.7,1347.5,1461.2
3300.8,2508.75,423.7,1807.65,72.95,818.5,134.15,449.65,1434.45,1549.6
3211.6,2639.1,413.45,1921.75,71.55,887.6,138.55,471,1486.2,1493.2
3004.6,2377.7,394.3,1848.7,67,862.8,126.85,404.65,1422.4,1413.1
3193.05,2549.55,386.4,2023.95,68.25,908.55,134,412.6,1496.4,1537.9
3392.4,2732.4,406.95,2077.3,76.65,953.4,141.15,439.35,1608.75,1632.4
3259.25,2548.2,392.8,2086.3,76.5,890.95,146.8,388.1,1627.3,1508.7
