Date,AARTIDRUGS.NS,APARINDS.NS,BEL.NS,ECLERX.NS,HDFCLIFE.NS,LUXIND.NS,NHPC.NS,NOCIL.NS,RADICO.NS,VMART.NS
01-01-2018,184.3874969,839.5499878,60.76666641,1025.166626,407,1521.25,33.54999924,228.9499969,319.1000061,1588.800049
08-01-2018,188.625,843.8499756,59.33333206,1017.93335,455.9500122,1531.849976,31.70000076,219.8999939,316.1000061,1685.699951
15-01-2018,174.5,827.7000122,57.58333206,1026.800049,481.5,1525.300049,29.85000038,202.4499969,365.5499878,1586.550049
22-01-2018,169.3999939,790.5,58.96666718,1059.833374,448.5,1634.900024,29.70000076,201.8000031,372.1499939,1649.949951
29-01-2018,147.4875031,728.0499878,50.61666489,987.5333252,442.3999939,1665.699951,27.85000038,185.8500061,324.7999878,1458.099976
05-02-2018,153.1000061,767.5499878,52.09999847,897.5333252,439.5499878,1728.599976,28.70000076,195,335.4500122,1510.800049
12-02-2018,162.1999969,782.7999878,51.90000153,884.3666382,431.4500122,1699.849976,28.29999924,186.8500061,347.8500061,1567.75
19-02-2018,153.2875061,780.6500244,50.31666565,891.2999878,468.8500061,1721.449951,27.60000038,184.25,353,1597.349976
26-02-2018,151.9624939,783.9000244,51.09999847,915.666687,450.9500122,1848.400024,27.79999924,206.5,350.4500122,1656.099976
05-03-2018,139.7124939,761.2999878,49.48333359,923.0666504,425.5499878,1768.5,26.85000038,194.3500061,321.3999939,1917.25
12-03-2018,137.5375061,738.0999756,49.73333359,853.166687,443.2999878,1799.5,26.60000038,203.25,322.25,1880.650024
19-03-2018,128.3500061,732.5999756,46.65000153,809.7999878,429.1499939,1650.5,26.54999924,188.3500061,345.6499939,1899.150024
26-03-2018,126.5,728,47.15000153,801,454.4500122,1701.5,27.70000076,191.8500061,332.25,1899.75
02-04-2018,146.2250061,773.4500122,48.26666641,827.9666748,496.3500061,1819.25,28.54999924,212.8000031,375.2999878,2192.149902
09-04-2018,141.6625061,759.25,47.5,838.833313,499.7999878,1798.050049,27.45000076,211.8999939,382.6499939,2125.100098
16-04-2018,138.5375061,786,44.09999847,900.3666382,495.6499939,1788.349976,28.10000038,218.75,436.5,2158.5
23-04-2018,146.1000061,782.4500122,44.40000153,885.166687,519.1500244,1953.949951,28.20000076,217.1000061,423.8999939,2115.149902
30-04-2018,140.1625061,787.7999878,43.20000076,888.7333374,500.3500061,2043.550049,27.85000038,215.1000061,390.8500061,2001.800049
07-05-2018,138.8625031,788.7999878,42.61666489,917.0333252,523.2999878,2047.349976,27.60000038,205.3000031,395.7999878,2134.600098
14-05-2018,137.4624939,750.9500122,40.48333359,883.7666626,493.9500122,1969.5,26.10000038,197.5,405.25,2313.25
21-05-2018,134.5625,729.5,39.48333359,850,481.5,1983.949951,27.04999924,197.3999939,442.2999878,2313.600098
28-05-2018,131.75,723.3499756,37.1333313,872.2333374,488.8500061,1805,26.70000076,183.8999939,437.8500061,2293.199951
04-06-2018,130.0124969,710.25,39.51666641,864.7999878,472.1499939,1677.900024,26.54999924,178.1999969,401.7999878,2392.75
11-06-2018,155.8500061,720.1500244,38.95000076,868.666687,469.75,1754,25.75,177.6000061,392.6499939,2397.649902
18-06-2018,153.1750031,716.6500244,36.56666565,874.3666382,471.3999939,1800.650024,24.95000076,170.9499969,392.2999878,2617.100098
25-06-2018,138.5124969,674.8499756,36.21666718,866.7333374,456.1499939,1911.150024,23.45000076,162.25,413.8500061,2481.600098
02-07-2018,137.5,648.9500122,36.93333435,866.5666504,468.7000122,1932.25,23.35000038,167.5,387.5499878,2812.550049
09-07-2018,130.1625061,648,34.59999847,867.5333252,471.5499878,1887.550049,23.85000038,181.6999969,354.7999878,2624.050049
16-07-2018,130.4375,619.7999878,34.54999924,860.2333374,489.6000061,1823.75,23.25,166.8500061,354.0499878,2270.949951
23-07-2018,138.1750031,620.7000122,34.16666412,852.8666382,508.3999939,1889.75,24.10000038,172.75,425,2381.649902
30-07-2018,138.2875061,608.1500244,39.83333206,835.166687,486.3999939,1956.75,24.14999962,173.8000031,436.2999878,2743.800049
06-08-2018,137.7875061,577.6500244,40.3833313,799.3666382,464.8999939,1959.199951,24.95000076,177.1499939,429.2000122,2834.449951
13-08-2018,137.3125,610.3499756,39.18333435,740.9333496,461.2999878,1815.949951,25.45000076,178.8999939,404.1499939,2865.600098
20-08-2018,136.6625061,607.7999878,39.16666412,732.6333618,462.1499939,1730.150024,25.39999962,178.5500031,430.9500122,2997.699951
27-08-2018,138.7375031,616.2999878,37.83333206,714.7000122,461.75,1723.449951,25.35000038,178.3500061,493.3500061,3182.850098
03-09-2018,157.375,617.75,30.61666679,702.5,451.3500061,1729.400024,25.95000076,173.1000061,472.3999939,2777.699951
10-09-2018,160.125,619.4000244,29.60000038,755.2666626,425.5499878,1707.400024,24.85000038,166.0500031,417.2999878,2773.25
17-09-2018,144.9375,610.4000244,26.71666527,753.7333374,388.25,1811.75,23.75,163.0500031,390.0499878,2541.25
24-09-2018,137.3125,591.0499878,26.76666641,706.4000244,391.6000061,1622.550049,22.60000038,151.5500031,346.9500122,2507.350098
01-10-2018,136.6000061,562.25,26.86666679,685.2999878,366.8999939,1500.400024,23.20000076,152.75,323.4500122,2234.899902
08-10-2018,143.125,571.3499756,28.51666641,703.9333496,373.25,1513.599976,23.79999924,145.3999939,332.3500061,1998.150024
15-10-2018,143.3374939,562.7000122,27.70000076,724.8666382,369.7000122,1523.599976,24.39999962,151.6499939,348.8999939,2156.800049
22-10-2018,143.1000061,557.2999878,29.41666603,704.5,359.7999878,1463.199951,24.25,147.8500061,346.75,2041.400024
29-10-2018,142.4499969,556.9000244,31.66666603,714.666687,386.6000061,1583.699951,24.35000038,161.25,397.4500122,2779.699951
05-11-2018,143.75,606.4000244,32.8833313,739.4666748,401.3500061,1591.949951,26.45000076,170.8999939,390.8500061,2264.199951
12-11-2018,142.5124969,613.6500244,30.95000076,761.5333252,393.3999939,1530.699951,26.25,168,437.3999939,2247.75
19-11-2018,137.3999939,617.75,31.25,721.5999756,393.2999878,1506,26.04999924,162.5500031,398.3500061,2382.5
26-11-2018,138.2375031,615.75,27.75,675.8666382,396.7000122,1491.599976,25.95000076,169.8000031,415.2999878,2713.350098
03-12-2018,141.5249939,619.6500244,26.70000076,699.166687,392.5499878,1444.849976,26.10000038,161.75,385.25,2759.5
10-12-2018,140.125,609.6500244,27.46666527,733.2999878,394.1000061,1505.300049,26.25,166,412.5,2603.699951
17-12-2018,141.0749969,640.4500122,29.46666527,716.4666748,385.2000122,1441.400024,25.95000076,165.5500031,400.25,2600.600098
24-12-2018,143.5749969,660.0499878,29.29999924,730.0666504,387.3500061,1358.599976,25.95000076,162.8000031,403.2000122,2631.100098
31-12-2018,143.1000061,646,30.61666679,716.2666626,393.5,1323.800049,25.54999924,161.8999939,394.2999878,2530.899902
07-01-2019,151.3999939,615.7999878,30.68333244,713.0666504,406.6000061,1129.25,25.5,164.25,414.9500122,2366.350098
14-01-2019,150.0749969,621.25,28.78333282,720.0333252,383.7000122,1311.650024,25.14999962,162.1499939,407.25,2298
21-01-2019,150.5,615.4000244,26.78333282,703.5,359.3999939,1216.400024,25,145.6499939,420.7999878,2457.800049
28-01-2019,148.625,614.8499756,28.20000076,692.2666626,375.4500122,1177.650024,25.39999962,139.1000061,427.6499939,2639.75
04-02-2019,147.3125,615.4000244,26.66666603,673.0666504,365.0499878,1195.400024,23.54999924,127.6500015,438.1000061,2601.600098
11-02-2019,146.1875,617.9500122,25.03333282,680.3666382,358.5,1181.949951,23.79999924,121.0999985,397.3999939,2358.800049
18-02-2019,147.4624939,628.0499878,26.18333244,663.9666748,362.5,1081.150024,23.54999924,125.9499969,371.25,2554.850098
25-02-2019,148.4750061,646.6500244,28.33333206,702.5,362.9500122,1153.5,23.10000038,140.1000061,381.7999878,2565.449951
04-03-2019,168.3000031,646.1500244,29.06666565,729.7999878,391.7000122,1268.099976,25.14999962,136.5,390.7999878,2817.449951
11-03-2019,164.1374969,655.7000122,31.64999962,744.2333374,370.1000061,1277.099976,25.14999962,144.5500031,392.3500061,2628.100098
18-03-2019,165.1750031,667.0499878,30.35000038,769,363.0499878,1301.050049,24.60000038,142.4499969,404.5499878,2592
25-03-2019,159.3249969,671.9000244,31.08333206,765.0999756,378.5,1373.25,24.70000076,146.4499969,395.1000061,2694.25
01-04-2019,158.7375031,681.0499878,32.26666641,754.166687,386.2000122,1363.75,24.29999924,141,392.25,2644.899902
08-04-2019,156.9750061,686.75,31.31666565,745.8666382,405.3500061,1375.5,24,139.3999939,357.9500122,2562.5
15-04-2019,156.1000061,694.5999756,30.83333206,753.4333496,406.3500061,1378.199951,23.64999962,141.25,333.5499878,2642.949951
22-04-2019,156.3249969,661.5,29.38333321,755.0999756,399.6499939,1360.199951,23.5,135.75,364.6499939,2710.949951
29-04-2019,154.0625,661.0499878,29.48333359,761.4000244,414.25,1314.550049,23.54999924,127.3000031,362.3500061,2788.850098
06-05-2019,154.3374939,647.9000244,29.89999962,663.5999756,410.0499878,1239.949951,22.45000076,118,345.5,2595.5
13-05-2019,143.6625061,646.5499878,30.64999962,620.0333252,382.5499878,1137.800049,22.14999962,115.0500031,350,2228.350098
20-05-2019,141.5,648.3499756,37.26666641,616.7999878,407.9500122,1255.900024,23.04999924,132.8500061,360.5,2294.600098
27-05-2019,142.3000031,669.8499756,37.21666718,622.2333374,441.6499939,1257.900024,25.04999924,136.3999939,336.5499878,2466.449951
03-06-2019,134.1875,644.4000244,36.09999847,624.1333618,451.3999939,1315.599976,25,129,300.3999939,2317.350098
10-06-2019,133.1374969,611.7000122,36.93333435,593.9666748,448.1499939,1300.5,24.54999924,121.4000015,273.7999878,2266.300049
17-06-2019,129.0874939,599.6500244,37.16666412,525,438.1499939,1250.949951,25.20000076,118.1500015,278.2000122,2284.149902
24-06-2019,132.6750031,578.1500244,37.5,511.1666565,464.0499878,1212.099976,24.79999924,117.5,315.6000061,2208.399902
01-07-2019,131.8000031,584.6500244,36.1333313,486.8666687,473.75,1201.550049,24.45000076,115.3000031,296.4500122,2171.949951
08-07-2019,128.8500061,571.1500244,35.34999847,443.2666626,481.75,1139.449951,24.14999962,110.1500015,285.3500061,2092.399902
15-07-2019,121.5500031,527.5999756,32.84999847,422.6333313,487.6000061,1107.300049,23.5,94.75,287.3999939,2014.25
