Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1264.900024,1273.349976,1258.150024,1261.800049,1151.690918,77414
2018-01-02,1270.500000,1270.500000,1243.150024,1249.099976,1140.098999,149232
2018-01-03,1254.599976,1284.000000,1251.000000,1276.150024,1164.788818,470140
2018-01-04,1282.400024,1318.650024,1280.300049,1315.400024,1200.613525,269371
2018-01-05,1320.000000,1328.800049,1308.349976,1314.500000,1199.792114,187226
2018-01-08,1312.000000,1345.500000,1312.000000,1338.099976,1221.332520,265822
2018-01-09,1341.800049,1342.949951,1325.900024,1332.800049,1216.495239,72066
2018-01-10,1339.000000,1339.000000,1317.300049,1323.849976,1208.326050,91543
2018-01-11,1323.000000,1325.650024,1313.500000,1320.300049,1205.086060,52968
2018-01-12,1325.300049,1331.599976,1310.000000,1329.199951,1213.209351,108467
2018-01-15,1332.250000,1350.000000,1323.000000,1323.099976,1207.641602,547908
2018-01-16,1327.050049,1340.000000,1320.800049,1323.250000,1207.778564,541609
2018-01-17,1326.000000,1358.000000,1318.050049,1352.250000,1234.247803,612313
2018-01-18,1355.500000,1384.349976,1350.900024,1358.800049,1240.226318,521339
2018-01-19,1361.550049,1377.699951,1355.000000,1371.949951,1252.228760,667193
2018-01-22,1370.550049,1405.000000,1348.000000,1398.949951,1276.872559,640553
2018-01-23,1405.000000,1415.000000,1394.000000,1409.550049,1286.547729,225907
2018-01-24,1409.400024,1410.250000,1392.000000,1400.400024,1278.196167,519193
2018-01-25,1399.400024,1425.000000,1395.000000,1412.949951,1289.651001,299987
2018-01-29,1415.199951,1441.000000,1415.000000,1428.300049,1303.661499,240250
2018-01-30,1426.599976,1436.150024,1406.500000,1429.099976,1304.391724,289830
2018-01-31,1428.949951,1438.400024,1412.300049,1416.599976,1292.982422,268552
2018-02-01,1455.000000,1469.599976,1408.000000,1455.800049,1328.761841,704620
2018-02-02,1453.000000,1453.000000,1410.000000,1414.400024,1290.974487,1337632
2018-02-05,1398.599976,1399.900024,1356.050049,1362.750000,1243.831665,382239
2018-02-06,1325.000000,1372.699951,1300.099976,1354.000000,1235.845093,365019
2018-02-07,1371.000000,1372.000000,1329.000000,1332.650024,1216.358276,298808
2018-02-08,1342.199951,1359.150024,1334.000000,1347.250000,1229.684204,752289
2018-02-09,1329.699951,1342.349976,1320.150024,1329.349976,1213.346191,474127
2018-02-12,1333.000000,1355.000000,1333.000000,1351.050049,1233.152588,144721
2018-02-14,1353.050049,1370.699951,1338.650024,1357.699951,1239.222290,185604
2018-02-15,1360.000000,1369.000000,1347.000000,1350.150024,1232.331055,137974
2018-02-16,1351.000000,1363.650024,1320.500000,1327.949951,1212.068237,104844
2018-02-19,1327.949951,1330.000000,1288.099976,1296.750000,1183.591064,194261
2018-02-20,1291.000000,1310.400024,1285.000000,1290.449951,1177.840698,102568
2018-02-21,1303.949951,1303.949951,1280.000000,1283.150024,1171.177612,104379
2018-02-22,1281.900024,1296.750000,1275.849976,1291.250000,1178.570923,99294
2018-02-23,1292.000000,1305.800049,1280.699951,1302.349976,1188.702271,105618
2018-02-26,1303.500000,1347.500000,1303.500000,1339.199951,1222.336670,225413
2018-02-27,1347.800049,1355.500000,1332.050049,1337.800049,1221.058838,244092
2018-02-28,1330.000000,1332.000000,1313.500000,1319.099976,1203.990601,106728
2018-03-01,1323.000000,1332.300049,1300.000000,1313.199951,1198.605469,113789
2018-03-05,1314.000000,1314.000000,1298.500000,1301.750000,1188.154663,75868
2018-03-06,1309.000000,1319.000000,1279.000000,1284.199951,1172.136230,134990
2018-03-07,1280.000000,1292.900024,1260.000000,1263.099976,1152.877319,177237
2018-03-08,1263.250000,1289.599976,1259.699951,1283.250000,1171.269165,117700
2018-03-09,1288.000000,1295.599976,1280.000000,1290.150024,1177.566895,83619
2018-03-12,1300.300049,1312.000000,1296.800049,1309.849976,1195.547852,183634
2018-03-13,1310.000000,1322.650024,1294.400024,1302.150024,1188.519775,161758
2018-03-14,1305.000000,1312.050049,1293.099976,1302.449951,1188.793335,145003
2018-03-15,1305.000000,1309.400024,1292.000000,1295.050049,1182.039307,213695
2018-03-16,1299.750000,1303.099976,1260.349976,1267.599976,1156.984619,619393
2018-03-19,1284.000000,1292.300049,1266.849976,1279.699951,1168.028809,166154
2018-03-20,1285.000000,1300.000000,1272.099976,1293.699951,1180.807129,127537
2018-03-21,1296.300049,1312.550049,1296.300049,1308.400024,1194.224487,117184
2018-03-22,1312.400024,1320.000000,1289.199951,1294.500000,1181.537354,122212
2018-03-23,1284.949951,1284.949951,1262.599976,1267.750000,1157.121582,166992
2018-03-26,1267.000000,1302.400024,1266.949951,1295.150024,1182.130615,178683
2018-03-27,1303.550049,1314.550049,1301.000000,1306.849976,1192.809570,100606
2018-03-28,1303.900024,1322.500000,1293.199951,1311.900024,1197.418945,119554
2018-04-02,1311.199951,1339.000000,1311.199951,1336.000000,1219.415771,89201
2018-04-03,1335.000000,1338.000000,1317.400024,1329.900024,1213.848267,96041
2018-04-04,1333.000000,1333.400024,1291.800049,1296.349976,1183.225830,96433
2018-04-05,1310.349976,1335.199951,1310.349976,1328.550049,1212.615967,482822
2018-04-06,1311.000000,1323.750000,1304.300049,1311.099976,1196.688599,250873
2018-04-09,1316.000000,1331.300049,1315.300049,1326.250000,1210.516724,101908
2018-04-10,1330.000000,1355.250000,1330.000000,1348.550049,1230.870850,260071
2018-04-11,1359.000000,1359.000000,1340.000000,1351.400024,1233.472046,75823
2018-04-12,1352.199951,1359.900024,1347.099976,1357.550049,1239.085449,68856
2018-04-13,1357.449951,1364.050049,1341.000000,1355.300049,1237.031738,88643
2018-04-16,1343.300049,1371.900024,1343.300049,1367.349976,1248.030151,121039
2018-04-17,1369.000000,1377.000000,1356.400024,1360.250000,1241.549805,145457
2018-04-18,1355.099976,1371.000000,1353.300049,1360.650024,1241.914917,118958
2018-04-19,1360.000000,1387.900024,1360.000000,1384.300049,1263.501221,207841
2018-04-20,1384.300049,1384.300049,1359.099976,1363.699951,1244.698608,298806
2018-04-23,1370.000000,1378.000000,1355.150024,1360.449951,1241.732300,98000
2018-04-24,1359.900024,1383.400024,1351.849976,1377.449951,1257.248779,88152
2018-04-25,1375.000000,1376.050049,1356.250000,1359.750000,1241.093384,80462
2018-04-26,1361.000000,1364.800049,1330.199951,1347.000000,1229.456055,106304
2018-04-27,1348.199951,1382.300049,1348.199951,1376.800049,1256.655640,131231
2018-04-30,1380.199951,1405.000000,1380.000000,1400.599976,1278.378662,124808
2018-05-02,1416.300049,1424.500000,1391.099976,1401.599976,1279.291260,161170
2018-05-03,1400.550049,1405.949951,1376.000000,1380.250000,1259.804443,75928
2018-05-04,1382.000000,1386.099976,1364.000000,1370.250000,1250.677124,66154
2018-05-07,1369.000000,1393.949951,1367.599976,1388.500000,1267.334595,79445
2018-05-08,1389.000000,1394.449951,1356.250000,1364.849976,1245.748291,132118
2018-05-09,1364.000000,1382.000000,1361.449951,1373.050049,1253.232788,68917
2018-05-10,1381.000000,1385.000000,1357.199951,1364.000000,1244.972656,69199
2018-05-11,1361.550049,1389.949951,1361.550049,1387.050049,1266.011108,89373
