Date,Open,High,Low,Close
01-Jan-18,34059.99,34101.13,33766.15,33812.75
02-Jan-18,33913.55,33964.14,33703.37,33812.26
03-Jan-18,33929.61,33998.37,33765.43,33793.38
04-Jan-18,33912.49,33995.4,33802.13,33969.64
05-Jan-18,34021.27,34188.85,34020.84,34153.85
08-Jan-18,34216.33,34385.67,34216.33,34352.79
09-Jan-18,34431.61,34488.03,34343.41,34443.19
10-Jan-18,34538.78,34565.63,34311.63,34433.07
11-Jan-18,34471.48,34558.88,34400.61,34503.49
12-Jan-18,34578.99,34638.42,34342.16,34592.39
15-Jan-18,34687.21,34963.69,34687.21,34843.51
16-Jan-18,34877.71,34936.03,34735.55,34771.05
17-Jan-18,34753.8,35118.61,34700.82,35081.82
18-Jan-18,35366.45,35507.36,35166.44,35260.29
19-Jan-18,35339.11,35542.17,35221.16,35511.58
22-Jan-18,35613.97,35827.7,35544.68,35798.01
23-Jan-18,35868.19,36170.83,35863.98,36139.98
24-Jan-18,36161.62,36268.19,36036.51,36161.64
25-Jan-18,36208.39,36247.02,35823.35,36050.44
29-Jan-18,36106.36,36443.98,36093.36,36283.25
30-Jan-18,36277.12,36291.82,35993.41,36033.73
31-Jan-18,35951.64,36050.69,35818.41,35965.02
01-Feb-18,36048.99,36256.83,35501.74,35906.66
02-Feb-18,35707.6,35738.13,35006.41,35066.75
05-Feb-18,34718.85,34874.17,34520.8,34757.16
06-Feb-18,33753.78,34521.01,33482.81,34195.94
07-Feb-18,34563.3,34666.33,34008.42,34082.71
08-Feb-18,34208.11,34634.35,34108.76,34413.16
09-Feb-18,34002.45,34070.73,33849.65,34005.76
12-Feb-18,34203.34,34351.34,34115.12,34300.47
14-Feb-18,34436.98,34473.43,34028.68,34155.95
15-Feb-18,34207.57,34535.08,34186.01,34297.47
16-Feb-18,34411.24,34508.24,33957.33,34010.76
19-Feb-18,34053.95,34122.96,33554.37,33774.66
20-Feb-18,33913.94,33960.95,33657.89,33703.59
21-Feb-18,33813.83,33911.36,33702.5,33844.86
22-Feb-18,33817.09,33868.74,33691.42,33819.5
23-Feb-18,33832,34167.6,33832,34142.15
26-Feb-18,34225.72,34483.39,34225.72,34445.75
27-Feb-18,34558.56,34610.79,34314.87,34346.39
28-Feb-18,34155.63,34302.74,34076.45,34184.04
01-Mar-18,34141.22,34278.63,34015.79,34046.94
05-Mar-18,34034.28,34034.28,33653.41,33746.78
06-Mar-18,34047.43,34060.13,33209.76,33317.2
07-Mar-18,33279.39,33331.21,32991.14,33033.09
08-Mar-18,33244.52,33439.97,33037.48,33351.57
09-Mar-18,33465.05,33519.49,33256.42,33307.14
12-Mar-18,33468.16,33962.48,33468.16,33917.94
13-Mar-18,33818.22,34077.32,33722.96,33856.78
14-Mar-18,33733.55,33875.15,33580.69,33835.74
15-Mar-18,33843.47,33866.28,33637.28,33685.54
16-Mar-18,33685.86,33691.32,33119.92,33176
19-Mar-18,33268.97,33275.79,32856.54,32923.12
20-Mar-18,32876.48,33102.74,32810.86,32996.76
21-Mar-18,33090.82,33354.93,33070.53,33136.18
22-Mar-18,33206.99,33281.77,32963.31,33006.27
23-Mar-18,32650.89,32720.03,32483.84,32596.54
26-Mar-18,32536.44,33115.41,32515.17,33066.41
27-Mar-18,33172.98,33371.04,33077.13,33174.39
28-Mar-18,33098.09,33104.11,32917.66,32968.68
02-Apr-18,33030.87,33289.34,32997.88,33255.36
03-Apr-18,33197.42,33402.94,33153.83,33370.63
04-Apr-18,33437.52,33505.53,32972.56,33019.07
05-Apr-18,33289.96,33637.46,33267.86,33596.8
06-Apr-18,33608.59,33697.51,33501.37,33626.97
09-Apr-18,33653.61,33846.5,33578.91,33788.54
10-Apr-18,33880.11,33949.98,33813.3,33880.25
11-Apr-18,33970.35,33981.54,33750.74,33940.44
12-Apr-18,33987.55,34177.44,33924.88,34101.13
13-Apr-18,34167.53,34313.14,34103.53,34192.65
16-Apr-18,33944.73,34341.46,33899.34,34305.43
17-Apr-18,34381.8,34434.14,34229.83,34395.06
18-Apr-18,34443.42,34591.81,34270.04,34331.68
19-Apr-18,34403.67,34478.82,34358.91,34427.29
20-Apr-18,34434.14,34487.33,34311.29,34415.58
23-Apr-18,34493.69,34663.95,34259.27,34450.77
24-Apr-18,34491.38,34706.71,34465.49,34616.64
25-Apr-18,34593.17,34631.27,34400.56,34501.27
26-Apr-18,34532.95,34747.97,34505.62,34713.6
27-Apr-18,34747.04,35065.37,34744.73,34969.7
30-Apr-18,35021.2,35213.3,35004,35160.36
02-May-18,35328.91,35357.15,35072.42,35176.42
03-May-18,35257.31,35257.31,35020.08,35103.14
04-May-18,35144.96,35206.55,34847.61,34915.38
07-May-18,34983.59,35259.81,34977.74,35208.14
08-May-18,35349.85,35388.87,35136.01,35216.32
09-May-18,35198.08,35404.83,35134.2,35319.35
10-May-18,35353.96,35500.76,35203.85,35246.27
11-May-18,35287.99,35596.15,35262.06,35535.79
14-May-18,35555.83,35642.72,35456.56,35556.71
15-May-18,35537.85,35993.53,35497.92,35543.94
16-May-18,35452.35,35543.89,35241.63,35387.88
17-May-18,35483.62,35510.01,35087.82,35149.12
18-May-18,35143.59,35163.11,34821.62,34848.3
